项目点表区域划分,,,,,,,,,,,,,,
分类,分组,序号,区域,区域,描述,开始M_ID,结束M_ID,开始M_ID（B）,结束M_ID（B）,开始相对id,结束相对id,总点量,配点初始点,初始16进制
,,,,,遥文点号,0x030007C0,0x030007FF,50333632,50333695,1984,2047,64,50333639,30007C7
,,4,火车采样,火车采样机2#,遥信点号,0x01002000,0x010020FF,16785408,16785663,8192,8447,256,16785439,100201F
,,,,,遥测点号,0x02002000,0x020020FF,33562624,33562879,8192,8447,256,33562655,200201F
,,,,,遥文点号,0x03000800,0x0300083F,50333696,50333759,2048,2111,64,50333703,3000807
,,5,火车采样,火车采样机3#,遥信点号,0x01002100,0x010021FF,16785664,16785919,8448,8703,256,16785695,100211F
,,,,,遥测点号,0x02002100,0x020021FF,33562880,33563135,8448,8703,256,33562911,200211F
,,,,,遥文点号,0x03000840,0x0300087F,50333760,50333823,2112,2175,64,50333767,3000847
,,6,汽车采样,汽车采样机1#,遥信点号,0x01002200,0x010022FF,16785920,16786175,8704,8959,256,16785951,100221F
,,,,,遥测点号,0x02002200,0x020022FF,33563136,33563391,8704,8959,256,33563167,200221F
,,,,,遥文点号,0x03000880,0x030008BF,50333824,50333887,2176,2239,64,50333831,3000887
,,7,汽车采样,汽车采样机2#,遥信点号,0x01002300,0x010023FF,16786176,16786431,8960,9215,256,16786207,100231F
,,,,,遥测点号,0x02002300,0x020023FF,33563392,33563647,8960,9215,256,33563423,200231F
,,,,,遥文点号,0x030008C0,0x030008FF,50333888,50333951,2240,2303,64,50333895,30008C7
,,8,汽车采样,汽车采样机3#,遥信点号,0x01002400,0x010024FF,16786432,16786687,9216,9471,256,16786463,100241F
,,,,,遥测点号,0x02002400,0x020024FF,33563648,33563903,9216,9471,256,33563679,200241F
,,,,,遥文点号,0x03000900,0x0300093F,50333952,50334015,2304,2367,64,50333959,3000907
,,9,备用,备用,遥信点号,0x01002500,0x010025FF,16786688,16786943,9472,9727,256,16786719,100251F
